District Name,District Code,First Language Not English #,First Language Not English %,English Language Learner #,English Language Learner %,Students With Disabilities #,Students With Disabilities %,Low Income #,Low Income %,Free Lunch #,Free Lunch %,Reduced Lunch #,Reduced Lunch %,High Needs #,High Needs #,Economically Disadvantaged #,Economically Disadvantaged %
Abby Kelley Foster Charter Public (District),04450000,965,67.7,221,15.5,189,13.3,982,68.9,,,,,1101,77.2,,
Abington,00010000,330,15.3,195,9.1,383,17.5,847,39.3,,,,,1069,48.8,,
Academy Of the Pacific Rim Charter Public (District),04120000,160,31.4,46,9,133,26.1,327,64.1,,,,,384,75.3,,
Acton-Boxborough,06000000,1095,21.1,256,4.9,775,14.7,566,10.9,,,,,1513,28.8,,
Acushnet,00030000,14,1.5,4,0.4,136,14.4,346,37,,,,,431,45.7,,
Advanced Math and Science Academy Charter (District),04300000,233,24.1,26,2.7,41,4.2,142,14.7,,,,,248,25.7,,
Agawam,00050000,471,13.6,171,4.9,596,17,1522,43.9,,,,,1889,54,,
Alma del Mar Charter School (District),04090000,438,46.4,309,32.7,156,16.5,721,76.4,,,,,817,86.5,,
Amesbury,00070000,62,3.5,29,1.6,423,23.1,603,33.6,,,,,832,45.4,,
Amherst,00080000,279,26.5,119,11.3,242,22.9,406,38.6,,,,,547,51.8,,
Amherst-Pelham,06050000,247,19.4,102,8,280,21.9,416,32.8,,,,,573,44.9,,
Andover,00090000,908,16.6,161,3,1100,19.9,673,12.3,,,,,1779,32.3,,
Argosy Collegiate Charter School (District),35090000,147,26,114,20.1,146,25.8,447,79,,,,,490,86.6,,
Arlington,00100000,703,12,247,4.2,944,15.9,675,11.5,,,,,1658,27.9,,
Ashburnham-Westminster,06100000,108,4.8,42,1.8,433,18.9,593,26.1,,,,,886,38.7,,
Ashland,00140000,889,31,219,7.6,536,18.5,651,22.7,,,,,1136,39.2,,
Assabet Valley Regional Vocational Technical,08010000,235,20.6,54,4.7,288,25.3,502,44.1,,,,,707,62.1,,
Athol-Royalston,06150000,92,6,40,2.6,383,24.4,1022,66.4,,,,,1141,72.6,,
Atlantis Charter (District),04910000,379,29.7,219,17.1,153,12,826,64.7,,,,,926,72.5,,
Attleboro,00160000,871,14.8,324,5.5,1046,17.7,2494,42.5,,,,,3108,52.6,,
Auburn,00170000,273,10.6,57,2.2,313,12.1,788,30.6,,,,,1014,39.2,,
Avon,00180000,94,13.1,72,10.1,154,21.4,348,48.7,,,,,446,61.9,,
Ayer Shirley School District,06160000,164,10.1,58,3.6,339,20.5,549,33.8,,,,,775,46.8,,
Barnstable,00200000,1346,28.3,756,15.9,857,17.9,2625,55.3,,,,,3167,66.1,,
Baystate Academy Charter Public School (District),35020000,115,25.2,31,6.8,90,19.7,381,83.6,,,,,398,87.3,,
Bedford,00230000,458,17.6,102,3.9,472,17.9,342,13.1,,,,,856,32.4,,
Belchertown,00240000,56,2.6,38,1.8,426,19.9,544,25.5,,,,,826,38.5,,
Bellingham,00250000,130,6.6,71,3.6,399,19.9,642,32.4,,,,,907,45.2,,
